Count,Date,DAM LMP,RT LMP,RT DAM Spread,RT>DAM,Day of week,Month,Season,DAM yesterday,DAM 7 days ago,DAM to DAM spread,Rolling 7d DAM mean,Rolling 7d RT DAM spread,Weight,,,Lamba (half life),1 year,0.0019
1,1/1/2019,25.88,15.48,-10.40,0,2,1,Winter,,,,,,0.03120613794,,,,,
2,1/2/2019,32.44,23.06,-9.38,0,3,1,Winter,25.88,,6.57,,,0.0312654798,,,,,
3,1/3/2019,32.01,19.48,-12.52,0,4,1,Winter,32.44,,-0.44,,,0.03132493451,,,,,
4,1/4/2019,27.09,23.29,-3.80,0,5,1,Winter,32.01,,-4.92,,,0.03138450228,,,,,
5,1/5/2019,23.46,22.42,-1.04,0,6,1,Winter,27.09,,-3.63,,,0.03144418333,,,,,
6,1/6/2019,24.32,24.97,0.65,1,7,1,Winter,23.46,,0.86,,,0.03150397786,,,,,
7,1/7/2019,31.95,29.01,-2.94,0,1,1,Winter,24.32,,7.63,,,0.0315638861,,,,,
8,1/8/2019,28.67,26.90,-1.76,0,2,1,Winter,31.95,25.88,-3.28,28.16,-5.63,0.03162390827,,,,,
9,1/9/2019,26.55,28.96,2.41,1,3,1,Winter,28.67,32.44,-2.12,28.56,-4.40,0.03168404457,,,,,
10,1/10/2019,34.59,36.29,1.70,1,4,1,Winter,26.55,32.01,8.05,27.72,-2.72,0.03174429522,,,,,
11,1/11/2019,51.88,43.82,-8.06,0,5,1,Winter,34.59,27.09,17.28,28.09,-0.68,0.03180466045,,,,,
12,1/12/2019,41.56,37.84,-3.71,0,6,1,Winter,51.88,23.46,-10.32,31.63,-1.29,0.03186514047,,,,,
13,1/13/2019,35.40,32.28,-3.12,0,7,1,Winter,41.56,24.32,-6.16,34.22,-1.67,0.03192573551,,,,,
14,1/14/2019,39.87,45.61,5.74,1,1,1,Winter,35.40,31.95,4.47,35.80,-2.21,0.03198644576,,,,,
15,1/15/2019,38.81,48.12,9.31,1,2,1,Winter,39.87,28.67,-1.06,36.93,-0.97,0.03204727147,,,,,
16,1/16/2019,43.03,46.48,3.45,1,3,1,Winter,38.81,26.55,4.22,38.38,0.61,0.03210821284,,,,,
17,1/17/2019,44.16,47.22,3.07,1,4,1,Winter,43.03,34.59,1.12,40.73,0.76,0.0321692701,,,,,
18,1/18/2019,49.30,50.52,1.22,1,5,1,Winter,44.16,51.88,5.14,42.10,0.95,0.03223044347,,,,,
19,1/19/2019,60.13,57.90,-2.23,0,6,1,Winter,49.30,41.56,10.83,41.73,2.28,0.03229173316,,,,,
20,1/20/2019,87.20,58.05,-29.14,0,7,1,Winter,60.13,35.40,27.07,44.38,2.49,0.0323531394,,,,,
21,1/21/2019,117.70,104.74,-12.96,0,1,1,Winter,87.20,39.87,30.50,51.78,-1.23,0.03241466242,,,,,
22,1/22/2019,110.25,118.44,8.19,1,2,1,Winter,117.70,38.81,-7.45,62.90,-3.90,0.03247630242,,,,,
23,1/23/2019,63.59,47.17,-16.42,0,3,1,Winter,110.25,43.03,-46.66,73.11,-4.06,0.03253805965,,,,,
24,1/24/2019,34.23,28.98,-5.25,0,4,1,Winter,63.59,44.16,-29.36,76.04,-6.89,0.03259993431,,,,,
25,1/25/2019,39.46,52.63,13.17,1,5,1,Winter,34.23,49.30,5.23,74.63,-8.08,0.03266192663,,,,,
26,1/26/2019,44.34,40.15,-4.19,0,6,1,Winter,39.46,60.13,4.88,73.22,-6.38,0.03272403683,,,,,
27,1/27/2019,34.79,47.50,12.71,1,7,1,Winter,44.34,87.20,-9.55,70.97,-6.66,0.03278626515,,,,,
28,1/28/2019,44.27,36.63,-7.64,0,1,1,Winter,34.79,117.70,9.48,63.48,-0.68,0.0328486118,,,,,
29,1/29/2019,46.21,38.07,-8.14,0,2,1,Winter,44.27,110.25,1.94,52.99,0.08,0.03291107701,,,,,
30,1/30/2019,85.28,60.65,-24.63,0,3,1,Winter,46.21,63.59,39.08,43.84,-2.25,0.032973661,,,,,
31,1/31/2019,126.72,69.45,-57.27,0,4,1,Winter,85.28,34.23,41.43,46.94,-3.43,0.033036364,,,,,
32,2/1/2019,105.09,55.39,-49.70,0,5,2,Winter,126.72,39.46,-21.63,60.15,-10.86,0.03309918624,,,,,
33,2/2/2019,40.62,54.79,14.18,1,6,2,Winter,105.09,44.34,-64.47,69.53,-19.84,0.03316212794,,,,,
34,2/3/2019,28.94,29.50,0.57,1,7,2,Winter,40.62,34.79,-11.68,69.00,-17.21,0.03322518934,,,,,
35,2/4/2019,29.33,23.74,-5.59,0,1,2,Winter,28.94,44.27,0.40,68.16,-18.95,0.03328837065,,,,,
36,2/5/2019,28.51,19.21,-9.30,0,2,2,Winter,29.33,46.21,-0.82,66.03,-18.66,0.03335167211,,,,,
37,2/6/2019,26.79,28.68,1.89,1,3,2,Winter,28.51,85.28,-1.73,63.50,-18.82,0.03341509394,,,,,
38,2/7/2019,24.58,25.28,0.70,1,4,2,Winter,26.79,126.72,-2.21,55.14,-15.03,0.03347863637,,,,,
39,2/8/2019,22.80,34.43,11.63,1,5,2,Winter,24.58,105.09,-1.78,40.55,-6.75,0.03354229964,,,,,
40,2/9/2019,27.23,31.42,4.19,1,6,2,Winter,22.80,40.62,4.43,28.80,2.01,0.03360608397,,,,,
41,2/10/2019,29.64,29.81,0.16,1,7,2,Winter,27.23,28.94,2.41,26.88,0.58,0.0336699896,,,,,
42,2/11/2019,33.41,29.65,-3.76,0,1,2,Winter,29.64,29.33,3.76,26.98,0.52,0.03373401674,,,,,
43,2/12/2019,36.39,35.45,-0.94,0,2,2,Winter,33.41,28.51,2.98,27.57,0.79,0.03379816565,,,,,
44,2/13/2019,28.85,33.27,4.42,1,3,2,Winter,36.39,26.79,-7.54,28.69,1.98,0.03386243653,,,,,
45,2/14/2019,26.70,28.06,1.37,1,4,2,Winter,28.85,24.58,-2.16,28.99,2.34,0.03392682964,,,,,
46,2/15/2019,25.62,26.74,1.12,1,5,2,Winter,26.70,22.80,-1.08,29.29,2.44,0.0339913452,,,,,
47,2/16/2019,26.79,20.43,-6.36,0,6,2,Winter,25.62,27.23,1.17,29.69,0.94,0.03405598344,,,,,
48,2/17/2019,27.50,22.14,-5.35,0,7,2,Winter,26.79,29.64,0.71,29.63,-0.57,0.03412074459,,,,,
49,2/18/2019,30.48,30.32,-0.16,0,1,2,Winter,27.50,33.41,2.99,29.32,-1.36,0.0341856289,,,,,
50,2/19/2019,33.43,29.06,-4.38,0,2,2,Winter,30.48,36.39,2.95,28.90,-0.84,0.03425063659,,,,,
51,2/20/2019,33.82,36.97,3.14,1,3,2,Winter,33.43,28.85,0.39,28.48,-1.34,0.0343157679,,,,,
52,2/21/2019,25.94,33.80,7.86,1,4,2,Winter,33.82,26.70,-7.89,29.19,-1.52,0.03438102307,,,,,
53,2/22/2019,27.12,26.50,-0.62,0,5,2,Winter,25.94,25.62,1.18,29.08,-0.59,0.03444640232,,,,,
54,2/23/2019,27.11,24.67,-2.43,0,6,2,Winter,27.12,26.79,-0.01,29.30,-0.84,0.0345119059,,,,,
55,2/24/2019,25.74,38.70,12.95,1,7,2,Winter,27.11,27.50,-1.36,29.34,-0.28,0.03457753405,,,,,
56,2/25/2019,30.26,41.55,11.29,1,1,2,Winter,25.74,30.48,4.52,29.09,2.34,0.03464328699,,,,,
57,2/26/2019,36.94,34.23,-2.71,0,2,2,Winter,30.26,33.43,6.68,29.06,3.97,0.03470916497,,,,,
58,2/27/2019,45.44,36.72,-8.71,0,3,2,Winter,36.94,33.82,8.50,29.56,4.21,0.03477516822,,,,,
59,2/28/2019,40.94,48.02,7.08,1,4,2,Winter,45.44,25.94,-4.50,31.22,2.52,0.03484129698,,,,,
60,3/1/2019,31.94,33.38,1.44,1,5,3,Spring,40.94,27.12,-9.00,33.36,2.41,0.0349075515,,,,,
61,3/2/2019,29.73,35.68,5.95,1,6,3,Spring,31.94,27.11,-2.21,34.05,2.70,0.03497393201,,,,,
62,3/3/2019,32.33,29.81,-2.52,0,7,3,Spring,29.73,25.74,2.60,34.43,3.90,0.03504043874,,,,,
63,3/4/2019,41.89,36.46,-5.43,0,1,3,Spring,32.33,30.26,9.56,35.37,1.69,0.03510707195,,,,,
64,3/5/2019,53.26,48.39,-4.87,0,2,3,Spring,41.89,36.94,11.37,37.03,-0.70,0.03517383186,,,,,
65,3/6/2019,63.28,46.14,-17.14,0,3,3,Spring,53.26,45.44,10.02,39.36,-1.01,0.03524071873,,,,,
66,3/7/2019,60.00,44.65,-15.36,0,4,3,Spring,63.28,40.94,-3.27,41.91,-2.21,0.03530773279,,,,,
67,3/8/2019,41.11,37.19,-3.92,0,5,3,Spring,60.00,31.94,-18.89,44.63,-5.42,0.03537487429,,,,,
68,3/9/2019,29.02,26.13,-2.89,0,6,3,Spring,41.11,29.73,-12.09,45.94,-6.18,0.03544214346,,,,,
69,3/10/2019,27.19,32.21,5.02,1,7,3,Spring,29.02,32.33,-1.83,45.84,-7.45,0.03550954055,,,,,
70,3/11/2019,31.59,33.16,1.57,1,1,3,Spring,27.19,41.89,4.40,45.11,-6.37,0.0355770658,,,,,
71,3/12/2019,31.83,27.35,-4.49,0,2,3,Spring,31.59,53.26,0.24,43.64,-5.37,0.03564471946,,,,,
72,3/13/2019,30.08,27.98,-2.10,0,3,3,Spring,31.83,63.28,-1.75,40.58,-5.32,0.03571250177,,,,,
73,3/14/2019,27.45,25.54,-1.92,0,4,3,Spring,30.08,60.00,-2.63,35.83,-3.17,0.03578041298,,,,,
74,3/15/2019,27.79,34.45,6.66,1,5,3,Spring,27.45,41.11,0.34,31.18,-1.25,0.03584845333,,,,,
75,3/16/2019,25.92,30.37,4.45,1,6,3,Spring,27.79,29.02,-1.86,29.28,0.27,0.03591662306,,,,,
76,3/17/2019,30.44,30.80,0.36,1,7,3,Spring,25.92,27.19,4.52,28.84,1.31,0.03598492242,,,,,
77,3/18/2019,36.83,37.03,0.19,1,1,3,Spring,30.44,31.59,6.39,29.30,0.65,0.03605335167,,,,,
78,3/19/2019,38.10,38.69,0.59,1,2,3,Spring,36.83,31.83,1.26,30.05,0.45,0.03612191104,,,,,
79,3/20/2019,35.06,33.97,-1.09,0,3,3,Spring,38.10,30.08,-3.04,30.94,1.18,0.03619060078,,,,,
80,3/21/2019,35.36,33.93,-1.44,0,4,3,Spring,35.06,27.45,0.31,31.66,1.32,0.03625942114,,,,,
81,3/22/2019,35.91,34.05,-1.86,0,5,3,Spring,35.36,27.79,0.55,32.79,1.39,0.03632837238,,,,,
82,3/23/2019,33.39,33.11,-0.27,0,6,3,Spring,35.91,25.92,-2.52,33.95,0.17,0.03639745473,,,,,
83,3/24/2019,30.08,24.78,-5.30,0,7,3,Spring,33.39,30.44,-3.30,35.01,-0.50,0.03646666845,,,,,
84,3/25/2019,36.16,46.31,10.15,1,1,3,Spring,30.08,36.83,6.08,34.96,-1.31,0.03653601379,,,,,
85,3/26/2019,36.98,37.84,0.86,1,2,3,Spring,36.16,38.10,0.82,34.87,0.11,0.03660549099,,,,,
86,3/27/2019,35.74,36.39,0.65,1,3,3,Spring,36.98,35.06,-1.24,34.71,0.15,0.03667510031,,,,,
87,3/28/2019,33.33,28.34,-4.99,0,4,3,Spring,35.74,35.36,-2.41,34.80,0.40,0.036744842,,,,,
88,3/29/2019,29.97,29.43,-0.54,0,5,3,Spring,33.33,35.91,-3.36,34.51,-0.11,0.03681471632,,,,,
89,3/30/2019,26.43,23.48,-2.95,0,6,3,Spring,29.97,33.39,-3.53,33.66,0.08,0.03688472351,,,,,
90,3/31/2019,26.56,28.36,1.80,1,7,3,Spring,26.43,30.08,0.12,32.67,-0.30,0.03695486382,,,,,
91,4/1/2019,34.69,31.41,-3.28,0,1,4,Spring,26.56,36.16,8.13,32.17,0.71,0.03702513751,,,,,
92,4/2/2019,33.66,26.16,-7.50,0,2,4,Spring,34.69,36.98,-1.03,31.96,-1.21,0.03709554484,,,,,
93,4/3/2019,27.05,29.68,2.63,1,3,4,Spring,33.66,35.74,-6.61,31.48,-2.40,0.03716608605,,,,,
94,4/4/2019,29.96,29.83,-0.12,0,4,4,Spring,27.05,33.33,2.90,30.24,-2.12,0.03723676141,,,,,
95,4/5/2019,34.32,29.11,-5.22,0,5,4,Spring,29.96,29.97,4.37,29.76,-1.42,0.03730757116,,,,,
96,4/6/2019,29.22,27.00,-2.23,0,6,4,Spring,34.32,26.43,-5.10,30.38,-2.09,0.03737851556,,,,,
97,4/7/2019,25.53,23.86,-1.67,0,7,4,Spring,29.22,26.56,-3.69,30.78,-1.99,0.03744959488,,,,,
98,4/8/2019,32.58,51.60,19.02,1,1,4,Spring,25.53,34.69,7.05,30.63,-2.48,0.03752080935,,,,,
99,4/9/2019,33.77,29.73,-4.04,0,2,4,Spring,32.58,33.66,1.18,30.33,0.70,0.03759215925,,,,,
100,4/10/2019,33.45,28.80,-4.65,0,3,4,Spring,33.77,27.05,-0.31,30.35,1.20,0.03766364483,,,,,
101,4/11/2019,34.04,28.52,-5.52,0,4,4,Spring,33.45,29.96,0.59,31.26,0.16,0.03773526635,,,,,
102,4/12/2019,26.98,28.03,1.06,1,5,4,Spring,34.04,34.32,-7.06,31.85,-0.62,0.03780702406,,,,,
103,4/13/2019,25.58,26.87,1.29,1,6,4,Spring,26.98,29.22,-1.40,30.80,0.28,0.03787891823,,,,,
104,4/14/2019,35.16,34.63,-0.52,0,7,4,Spring,25.58,25.53,9.57,30.28,0.78,0.03795094912,,,,,
105,4/15/2019,35.61,47.31,11.69,1,1,4,Spring,35.16,32.58,0.46,31.65,0.95,0.03802311697,,,,,
106,4/16/2019,30.67,31.65,0.99,1,2,4,Spring,35.61,33.77,-4.94,32.08,-0.10,0.03809542207,,,,,
107,4/17/2019,29.40,23.34,-6.06,0,3,4,Spring,30.67,33.45,-1.27,31.64,0.62,0.03816786466,,,,,
108,4/18/2019,28.93,21.57,-7.36,0,4,4,Spring,29.40,34.04,-0.46,31.06,0.42,0.038240445,,,,,
109,4/19/2019,25.34,22.74,-2.61,0,5,4,Spring,28.93,26.98,-3.59,30.33,0.15,0.03831316337,,,,,
110,4/20/2019,22.45,20.75,-1.70,0,6,4,Spring,25.34,25.58,-2.89,30.10,-0.37,0.03838602001,,,,,
111,4/21/2019,19.48,17.80,-1.68,0,7,4,Spring,22.45,35.16,-2.97,29.65,-0.80,0.03845901521,,,,,
112,4/22/2019,27.92,21.69,-6.23,0,1,4,Spring,19.48,35.61,8.44,27.41,-0.96,0.03853214921,,,,,
113,4/23/2019,27.48,20.98,-6.50,0,2,4,Spring,27.92,30.67,-0.44,26.31,-3.52,0.03860542228,,,,,
114,4/24/2019,28.67,31.34,2.67,1,3,4,Spring,27.48,29.40,1.19,25.86,-4.59,0.03867883469,,,,,
115,4/25/2019,27.52,21.78,-5.74,0,4,4,Spring,28.67,28.93,-1.15,25.75,-3.34,0.0387523867,,,,,
116,4/26/2019,28.20,19.66,-8.54,0,5,4,Spring,27.52,25.34,0.68,25.55,-3.11,0.03882607858,,,,,
117,4/27/2019,22.59,14.49,-8.11,0,6,4,Spring,28.20,22.45,-5.61,25.96,-3.96,0.03889991059,,,,,
118,4/28/2019,22.78,19.84,-2.94,0,7,4,Spring,22.59,19.48,0.19,25.98,-4.87,0.038973883,,,,,
119,4/29/2019,25.23,22.59,-2.63,0,1,4,Spring,22.78,27.92,2.45,26.45,-5.05,0.03904799608,,,,,
120,4/30/2019,26.34,26.06,-0.28,0,2,4,Spring,25.23,27.48,1.11,26.07,-4.54,0.03912225009,,,,,
121,5/1/2019,24.29,25.18,0.89,1,3,5,Spring,26.34,28.67,-2.05,25.90,-3.65,0.0391966453,,,,,
122,5/2/2019,26.01,28.75,2.74,1,4,5,Spring,24.29,27.52,1.71,25.28,-3.91,0.03927118199,,,,,
123,5/3/2019,25.10,22.54,-2.56,0,5,5,Spring,26.01,28.20,-0.91,25.06,-2.70,0.03934586041,,,,,
124,5/4/2019,21.86,23.37,1.51,1,6,5,Spring,25.10,22.59,-3.24,24.62,-1.84,0.03942068085,,,,,
125,5/5/2019,20.72,23.17,2.44,1,7,5,Spring,21.86,22.78,-1.14,24.51,-0.47,0.03949564356,,,,,
126,5/6/2019,26.71,20.47,-6.24,0,1,5,Spring,20.72,25.23,5.99,24.22,0.30,0.03957074882,,,,,
127,5/7/2019,27.64,19.53,-8.11,0,2,5,Spring,26.71,26.34,0.93,24.43,-0.21,0.0396459969,,,,,
128,5/8/2019,23.10,21.47,-1.63,0,3,5,Spring,27.64,24.29,-4.54,24.62,-1.33,0.03972138808,,,,,
129,5/9/2019,22.97,30.32,7.35,1,4,5,Spring,23.10,26.01,-0.13,24.45,-1.69,0.03979692262,,,,,
130,5/10/2019,25.22,38.94,13.72,1,5,5,Spring,22.97,25.10,2.25,24.01,-1.03,0.0398726008,,,,,
131,5/11/2019,20.19,27.21,7.02,1,6,5,Spring,25.22,21.86,-5.02,24.03,1.29,0.03994842288,,,,,
132,5/12/2019,19.23,21.42,2.19,1,7,5,Spring,20.19,20.72,-0.96,23.79,2.08,0.04002438915,,,,,
133,5/13/2019,24.31,20.82,-3.49,0,1,5,Spring,19.23,26.71,5.08,23.58,2.04,0.04010049988,,,,,
134,5/14/2019,23.95,19.55,-4.41,0,2,5,Spring,24.31,27.64,-0.36,23.24,2.44,0.04017675535,,,,,
135,5/15/2019,23.14,24.86,1.72,1,3,5,Spring,23.95,23.10,-0.81,22.71,2.96,0.04025315582,,,,,
136,5/16/2019,24.03,23.11,-0.93,0,4,5,Spring,23.14,22.97,0.89,22.72,3.44,0.04032970157,,,,,
137,5/17/2019,24.29,25.86,1.57,1,5,5,Spring,24.03,25.22,0.25,22.87,2.26,0.04040639289,,,,,
138,5/18/2019,21.71,23.83,2.12,1,6,5,Spring,24.29,20.19,-2.57,22.74,0.52,0.04048323004,,,,,
139,5/19/2019,21.15,19.68,-1.47,0,7,5,Spring,21.71,19.23,-0.56,22.95,-0.18,0.0405602133,,,,,
140,5/20/2019,30.67,36.31,5.64,1,1,5,Spring,21.15,24.31,9.51,23.23,-0.70,0.04063734296,,,,,
141,5/21/2019,24.26,25.62,1.36,1,2,5,Spring,30.67,23.95,-6.41,24.14,0.61,0.04071461929,,,,,
142,5/22/2019,20.82,18.84,-1.97,0,3,5,Spring,24.26,23.14,-3.44,24.18,1.43,0.04079204256,,,,,
143,5/23/2019,21.46,21.57,0.11,1,4,5,Spring,20.82,24.03,0.64,23.85,0.90,0.04086961307,,,,,
144,5/24/2019,23.03,18.49,-4.54,0,5,5,Spring,21.46,24.29,1.58,23.48,1.05,0.04094733108,,,,,
145,5/25/2019,20.16,15.59,-4.57,0,6,5,Spring,23.03,21.71,-2.87,23.30,0.18,0.04102519689,,,,,
146,5/26/2019,21.84,9.19,-12.65,0,7,5,Spring,20.16,21.15,1.68,23.08,-0.78,0.04110321076,,,,,
147,5/27/2019,21.61,20.91,-0.70,0,1,5,Spring,21.84,30.67,-0.23,23.18,-2.38,0.04118137299,,,,,
148,5/28/2019,22.93,28.19,5.26,1,2,5,Spring,21.61,24.26,1.32,21.88,-3.28,0.04125968385,,,,,
149,5/29/2019,25.87,22.91,-2.96,0,3,5,Spring,22.93,20.82,2.94,21.69,-2.72,0.04133814362,,,,,
150,5/30/2019,24.95,15.38,-9.57,0,4,5,Spring,25.87,21.46,-0.92,22.41,-2.86,0.0414167526,,,,,
151,5/31/2019,21.74,27.89,6.15,1,5,5,Spring,24.95,23.03,-3.21,22.91,-4.25,0.04149551106,,,,,
152,6/1/2019,21.32,22.84,1.52,1,6,6,Summer,21.74,20.16,-0.42,22.73,-2.72,0.04157441929,,,,,
153,6/2/2019,22.03,28.72,6.69,1,7,6,Summer,21.32,21.84,0.71,22.90,-1.85,0.04165347757,,,,,
154,6/3/2019,22.14,32.23,10.08,1,1,6,Summer,22.03,21.61,0.11,22.92,0.91,0.04173268619,,,,,
155,6/4/2019,21.43,19.19,-2.24,0,2,6,Summer,22.14,22.93,-0.72,23.00,2.45,0.04181204543,,,,,
156,6/5/2019,25.15,24.11,-1.04,0,3,6,Summer,21.43,25.87,3.72,22.79,1.38,0.04189155558,,,,,
157,6/6/2019,28.44,30.46,2.01,1,4,6,Summer,25.15,24.95,3.30,22.68,1.66,0.04197121693,,,,,
158,6/7/2019,24.60,25.74,1.14,1,5,6,Summer,28.44,21.74,-3.84,23.18,3.31,0.04205102976,,,,,
159,6/8/2019,21.99,20.44,-1.55,0,6,6,Summer,24.60,21.32,-2.61,23.59,2.60,0.04213099437,,,,,
160,6/9/2019,20.03,19.80,-0.23,0,7,6,Summer,21.99,22.03,-1.96,23.68,2.16,0.04221111104,,,,,
161,6/10/2019,21.30,22.26,0.96,1,1,6,Summer,20.03,22.14,1.27,23.40,1.17,0.04229138006,,,,,
162,6/11/2019,24.13,21.42,-2.71,0,2,6,Summer,21.30,21.43,2.83,23.28,-0.13,0.04237180172,,,,,
163,6/12/2019,20.10,14.33,-5.77,0,3,6,Summer,24.13,25.15,-4.03,23.66,-0.20,0.04245237631,,,,,
164,6/13/2019,19.51,18.02,-1.48,0,4,6,Summer,20.10,28.44,-0.59,22.94,-0.88,0.04253310412,,,,,
165,6/14/2019,20.55,16.58,-3.98,0,5,6,Summer,19.51,24.60,1.05,21.66,-1.38,0.04261398544,,,,,
166,6/15/2019,18.72,16.25,-2.47,0,6,6,Summer,20.55,21.99,-1.83,21.09,-2.11,0.04269502057,,,,,
167,6/16/2019,19.68,16.41,-3.27,0,7,6,Summer,18.72,20.03,0.96,20.62,-2.24,0.0427762098,,,,,
168,6/17/2019,25.02,18.53,-6.49,0,1,6,Summer,19.68,21.30,5.34,20.57,-2.68,0.04285755341,,,,,
169,6/18/2019,23.43,23.61,0.17,1,2,6,Summer,25.02,24.13,-1.59,21.10,-3.74,0.04293905171,,,,,
170,6/19/2019,20.91,24.62,3.70,1,3,6,Summer,23.43,20.10,-2.52,21.00,-3.33,0.04302070499,,,,,
171,6/20/2019,24.71,25.14,0.43,1,4,6,Summer,20.91,19.51,3.80,21.12,-1.97,0.04310251354,,,,,
172,6/21/2019,21.85,18.23,-3.63,0,5,6,Summer,24.71,20.55,-2.86,21.86,-1.70,0.04318447766,,,,,
173,6/22/2019,19.98,14.78,-5.20,0,6,6,Summer,21.85,18.72,-1.87,22.05,-1.65,0.04326659764,,,,,
174,6/23/2019,19.22,16.21,-3.01,0,7,6,Summer,19.98,19.68,-0.76,22.23,-2.04,0.04334887378,,,,,
175,6/24/2019,23.71,22.55,-1.17,0,1,6,Summer,19.22,25.02,4.49,22.16,-2.00,0.04343130638,,,,,
176,6/25/2019,23.85,31.66,7.81,1,2,6,Summer,23.71,23.43,0.14,21.98,-1.24,0.04351389573,,,,,
177,6/26/2019,26.42,27.80,1.38,1,3,6,Summer,23.85,20.91,2.57,22.03,-0.15,0.04359664214,,,,,
178,6/27/2019,30.10,31.79,1.69,1,4,6,Summer,26.42,24.71,3.67,22.82,-0.48,0.04367954589,,,,,
179,6/28/2019,29.24,48.62,19.38,1,5,6,Summer,30.10,21.85,-0.85,23.59,-0.30,0.0437626073,,,,,
180,6/29/2019,36.54,68.04,31.49,1,6,6,Summer,29.24,19.98,7.30,24.65,2.98,0.04384582666,,,,,
181,6/30/2019,26.21,26.56,0.35,1,7,6,Summer,36.54,19.22,-10.33,27.01,8.22,0.04392920427,,,,,
182,7/1/2019,24.99,24.66,-0.33,0,1,7,Summer,26.21,23.71,-1.22,28.01,8.70,0.04401274043,,,,,
183,7/2/2019,27.61,24.27,-3.34,0,2,7,Summer,24.99,23.85,2.62,28.19,8.82,0.04409643544,,,,,
184,7/3/2019,31.46,26.77,-4.69,0,3,7,Summer,27.61,26.42,3.85,28.73,7.23,0.04418028961,,,,,
185,7/4/2019,28.12,27.57,-0.55,0,4,7,Summer,31.46,30.10,-3.34,29.45,6.36,0.04426430323,,,,,
186,7/5/2019,29.60,30.61,1.01,1,5,7,Summer,28.12,29.24,1.48,29.17,6.04,0.04434847662,,,,,
187,7/6/2019,27.63,38.78,11.15,1,6,7,Summer,29.60,36.54,-1.97,29.22,3.42,0.04443281007,,,,,
188,7/7/2019,26.25,26.22,-0.03,0,7,7,Summer,27.63,26.21,-1.38,27.95,0.51,0.0445173039,,,,,
189,7/8/2019,25.99,24.13,-1.86,0,1,7,Summer,26.25,24.99,-0.26,27.95,0.46,0.04460195839,,,,,
190,7/9/2019,28.35,26.36,-1.99,0,2,7,Summer,25.99,27.61,2.36,28.09,0.24,0.04468677387,,,,,
191,7/10/2019,32.45,30.73,-1.72,0,3,7,Summer,28.35,31.46,4.10,28.20,0.44,0.04477175063,,,,,
192,7/11/2019,32.08,28.28,-3.80,0,4,7,Summer,32.45,28.12,-0.37,28.34,0.86,0.04485688898,,,,,
193,7/12/2019,32.76,25.98,-6.78,0,5,7,Summer,32.08,29.60,0.68,28.91,0.40,0.04494218923,,,,,
194,7/13/2019,29.40,32.49,3.09,1,6,7,Summer,32.76,27.63,-3.36,29.36,-0.72,0.0450276517,,,,,
195,7/14/2019,28.25,33.13,4.88,1,7,7,Summer,29.40,26.25,-1.15,29.61,-1.87,0.04511327667,,,,,
196,7/15/2019,29.29,29.94,0.65,1,1,7,Summer,28.25,25.99,1.05,29.90,-1.17,0.04519906448,,,,,
197,7/16/2019,33.59,35.93,2.34,1,2,7,Summer,29.29,28.35,4.30,30.37,-0.81,0.04528501541,,,,,
198,7/17/2019,37.45,48.68,11.23,1,3,7,Summer,33.59,32.45,3.86,31.12,-0.19,0.04537112979,,,,,
199,7/18/2019,34.48,24.45,-10.03,0,4,7,Summer,37.45,32.08,-2.97,31.83,1.66,0.04545740793,,,,,
200,7/19/2019,40.80,22.48,-18.32,0,5,7,Summer,34.48,32.76,6.32,32.17,0.77,0.04554385014,,,,,
201,7/20/2019,41.36,37.21,-4.15,0,6,7,Summer,40.80,29.40,0.56,33.32,-0.88,0.04563045672,,,,,
202,7/21/2019,43.13,38.41,-4.72,0,7,7,Summer,41.36,28.25,1.77,35.03,-1.91,0.045717228,,,,,
203,7/22/2019,34.25,62.29,28.04,1,1,7,Summer,43.13,29.29,-8.88,37.16,-3.29,0.04580416428,,,,,
204,7/23/2019,27.23,23.29,-3.93,0,2,7,Summer,34.25,33.59,-7.02,37.87,0.63,0.04589126588,,,,,
205,7/24/2019,25.75,25.10,-0.65,0,3,7,Summer,27.23,37.45,-1.47,36.96,-0.27,0.04597853312,,,,,
206,7/25/2019,25.64,31.38,5.74,1,4,7,Summer,25.75,34.48,-0.11,35.28,-1.97,0.0460659663,,,,,
207,7/26/2019,28.63,25.60,-3.03,0,5,7,Summer,25.64,40.80,2.99,34.02,0.29,0.04615356574,,,,,
208,7/27/2019,26.53,35.51,8.97,1,6,7,Summer,28.63,41.36,-2.10,32.28,2.47,0.04624133177,,,,,
209,7/28/2019,28.71,32.58,3.86,1,7,7,Summer,26.53,43.13,2.18,30.17,4.35,0.04632926469,,,,,
210,7/29/2019,36.42,41.98,5.56,1,1,7,Summer,28.71,34.25,7.71,28.11,5.57,0.04641736483,,,,,
211,7/30/2019,36.01,51.85,15.84,1,2,7,Summer,36.42,27.23,-0.42,28.42,2.36,0.04650563249,,,,,
212,7/31/2019,33.92,28.78,-5.14,0,3,7,Summer,36.01,25.75,-2.08,29.67,5.18,0.04659406801,,,,,
213,8/1/2019,30.31,23.85,-6.46,0,4,8,Summer,33.92,25.64,-3.61,30.84,4.54,0.0466826717,,,,,
214,8/2/2019,29.17,27.85,-1.32,0,5,8,Summer,30.31,28.63,-1.14,31.51,2.80,0.04677144388,,,,,
215,8/3/2019,28.44,41.15,12.71,1,6,8,Summer,29.17,26.53,-0.73,31.58,3.04,0.04686038487,,,,,
